OrderID,OrderDate,Region,Channel,Product,Quantity,UnitPrice,Sales,Cost,Profit,Year,Month,Customer
11179,2023-12-27,South,Online,Monitor,10,16843,202116.0,147137.1695829949,24486.754979555877,2023,12,Customer_103
10866,2024-11-22,South,Retail,Headphones,10,8290,99480.0,43247.66143787073,39652.33856212927,2024,11,Customer_117
10102,2023-05-09,North,Online,Printer,9,37729,339561.0,265585.105767794,85072.27836703688,2023,5,Customer_18
10440,2023-05-07,North,Online,Tablet,19,68106,1898720.3011813913,886943.809785384,468130.71874680836,2023,5,Customer_75
10059,2023-04-02,South,Online,Headphones,2,14916,29832.0,24827.810452846166,5754.817979226908,2023,4,Customer_18
11121,2023-05-07,South,Retail,Printer,16,39474,631584.0,458243.7581881318,173340.2418118682,2023,5,Customer_171
10324,2023-12-31,Central,Retail,Mouse,4,49070,235536.0,157588.4321644708,38691.56783552919,2023,12,Customer_69
10975,2023-08-13,East,Online,Mouse,10,67867,678670.0,459962.40197019477,251513.737734276,2023,8,Customer_145
10412,2024-11-22,East,Online,Laptop,10,22104,265248.0,175302.41945712126,52598.21762431055,2024,11,Customer_81
10856,2023-12-16,West,Retail,Laptop,11,58653,774219.6,409345.4534289531,235837.54657104693,2023,12,Customer_29
10821,2024-06-03,South,Online,Monitor,4,63879,255516.0,180951.94353563464,85748.66493402015,2024,6,Customer_181
10045,2023-05-11,North,Online,Tablet,17,54797,1332727.9437074247,674336.1870886339,295794.734848071,2023,5,Customer_135
10050,2023-10-01,West,Retail,Keyboard,18,21116,380088.0,236529.69399756938,143558.30600243062,2023,10,Customer_139
10850,2023-09-06,East,Distributor,Tablet,13,12978,168714.0,121975.44936872019,46738.55063127981,2023,9,Customer_62
10241,2023-07-20,North,Online,Tablet,16,12601,201616.0,141789.9848239378,68799.91745247153,2023,7,Customer_193
10171,2023-12-14,West,Online,Headphones,12,31292,450604.8,304659.79754871386,81470.83281897905,2023,12,Customer_137
10524,2023-04-25,North,Online,Keyboard,18,26940,484920.0,385269.705777995,114597.83835530575,2023,4,Customer_159
10766,2023-03-13,East,Retail,Headphones,13,60074,780962.0,547248.2638026946,233713.73619730538,2023,3,Customer_145
10839,2024-02-09,North,Retail,Keyboard,5,31499,157495.0,110072.67893478477,47422.321065215234,2024,2,Customer_139
10424,2023-12-16,East,Online,Headphones,14,58065,975492.0,687059.8412081515,144727.68261062572,2023,12,Customer_68
10381,2023-06-25,East,Online,Laptop,11,47460,749702.9843543371,345497.44204310555,203046.9416504286,2023,6,Customer_114
10610,2024-09-25,Central,Online,Keyboard,9,29987,269883.0,162489.23817931025,123502.82609379319,2024,9,Customer_146
10677,2023-08-21,South,Distributor,Monitor,4,57747,230988.0,166071.7243637644,64916.2756362356,2023,8,Customer_148
10345,2024-04-21,North,Online,Mouse,17,65624,1115608.0,784915.808971283,380296.0196830245,2024,4,Customer_180
10110,2024-11-05,West,Retail,Monitor,17,44478,907351.2,551993.2782805514,204132.72171944857,2024,11,Customer_68
10278,2023-04-09,West,Online,Monitor,6,25163,150978.0,125909.57835823964,28828.68488802441,2023,4,Customer_154
10678,2023-11-01,South,Distributor,Monitor,10,27193,326316.0,142953.89718121896,128976.10281878104,2023,11,Customer_86
10571,2024-07-17,Central,Retail,Mouse,4,43416,173664.0,119575.7556592815,54088.244340718506,2024,7,Customer_30
10359,2023-04-26,South,Distributor,Laptop,4,24640,132791.2269417612,82784.19484363309,15775.805156366914,2023,4,Customer_122
10599,2023-01-09,Central,Online,Laptop,12,44622,535464.0,450701.7754687675,97476.55821091736,2023,1,Customer_152
10391,2023-01-20,North,Online,Keyboard,14,41302,578228.0,369165.85033322603,240421.47211679004,2023,1,Customer_156
10894,2023-01-28,East,Retail,Laptop,9,10291,92619.0,67110.91026837891,25508.08973162109,2023,1,Customer_44
10693,2024-01-08,East,Retail,Monitor,19,60435,1148265.0,794607.8816826934,353657.1183173066,2024,1,Customer_121
10728,2023-08-27,Central,Retail,Printer,8,47537,380296.0,243359.52660293426,136936.47339706574,2023,8,Customer_84
10363,2023-09-13,South,Online,Laptop,11,32162,353782.0,226926.4057555494,145883.93338111817,2023,9,Customer_57
10597,2024-10-19,East,Online,Tablet,17,1527,25959.0,22035.67253759057,4511.826581770844,2024,10,Customer_55
